req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
2ea61dde,sar_2,sar,"[92.8222404535489, 2374.588584819626, 5918.896497312586]",0.0,86400.0,86400.0,8710.0,1.0,0.3333333333333333,0.09990997942386831
2e9c955c,img_2,visible,"[-660.1806065812408, -3881.037609803973, 5018.200005914349]",0.0,86400.0,86400.0,8810.0,1.0,0.3333333333333333,0.09978137860082305
8b3e564c,img_2,visible,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",2920.0,8920.0,6000.0,8820.0,7.235586791929105,2.4118622639763685,0.013399234799868712
2e9d7742,img_2,visible,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",0.0,86400.0,86400.0,8820.0,1.0,0.3333333333333333,0.0997685185185185
2ea3593c,img_2,visible,"[-617.3455133490522, -3774.054347530024, 5104.5098648562935]",0.0,86400.0,86400.0,8830.0,1.0,0.3333333333333333,0.09975565843621399
2e9b9cd8,img_2,visible,"[-806.4602737939349, -3452.0151021493853, 5302.248223414524]",0.0,86400.0,86400.0,8840.0,1.0,0.3333333333333333,0.09974279835390945
8956dafc,img_2,visible,"[-806.4602737939349, -3452.0151021493853, 5302.248223414524]",5310.0,8310.0,3000.0,8840.0,5.78621144107528,2.89310572053764,0.0
2ea4ba70,img_2,visible,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",0.0,86400.0,86400.0,8890.0,1.0,0.3333333333333333,0.09967849794238683
5930f470,img_2,visible,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",2000.0,5000.0,3000.0,8890.0,6.6735541783853,3.33677708919265,0.0
83770b20,img_2,visible,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",2000.0,5000.0,3000.0,8890.0,6.6735541783853,3.33677708919265,0.0
83787988,img_2,visible,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",2000.0,5000.0,3000.0,8890.0,6.6735541783853,3.33677708919265,0.0
2ea514fc,img_2,visible,"[-729.3680464732022, -3221.369315378822, 5456.319698120459]",0.0,86400.0,86400.0,8910.0,1.0,0.3333333333333333,0.09965277777777777
2ea7744a,img_2,visible,"[-484.4989370054225, -3071.0458366365838, 5569.071817699553]",0.0,86400.0,86400.0,8920.0,1.0,0.3333333333333333,0.09963991769547326
2ea405d0,thm_1,thermal,"[-2446.616749910918, 4967.571084370409, 3165.1108451616715]",0.0,86400.0,86400.0,9030.0,1.0,0.3333333333333333,0.09949845679012345
2ea4632c,thm_1,thermal,"[-2775.1591803125857, 4703.071407449162, 3295.4868413845375]",0.0,86400.0,86400.0,9080.0,1.0,0.3333333333333333,0.09943415637860081
2ea5c7b2,sar_2,sar,"[-2284.69616712873, 2998.3482742525125, 5144.967804716756]",0.0,86400.0,86400.0,9110.0,1.0,0.3333333333333333,0.09939557613168723
2ea0e850,img_2,visible,"[831.8868848750332, -2520.5760461900536, 5799.593370877265]",0.0,86400.0,86400.0,9130.0,1.0,0.3333333333333333,0.09936985596707817
2e9d1fea,img_2,visible,"[808.5760258594047, -2404.445269145716, 5851.962954382562]",0.0,86400.0,86400.0,9140.0,1.0,0.3333333333333333,0.09935699588477366
2e9e54aa,sar_2,sar,"[-3063.8717162553503, 3303.792838743767, 4514.229241672779]",0.0,86400.0,86400.0,9260.0,1.0,0.3333333333333333,0.09920267489711933
2e99a824,thm_2,thermal,"[569.1777782846607, -6232.4007382123455, 1230.3821993246002]",0.0,86400.0,86400.0,9260.0,1.0,0.3333333333333333,0.09920267489711933
2ea5c7b2,thm_1,thermal,"[-2284.69616712873, 2998.3482742525125, 5144.967804716756]",0.0,86400.0,86400.0,9570.0,1.0,0.3333333333333333,0.09880401234567901
2ea748c6,img_2,visible,"[3853.8362002339572, 381.1261962001001, 5067.87056126279]",0.0,86400.0,86400.0,9790.0,1.0,0.3333333333333333,0.09852109053497943
